,State_Tribe_Territory,County_Name,FIPS_State,FIPS_County,date,order_code,Face_Masks_Required_in_Public,Source_of_Action,URL,Citation
518549,NC,Mecklenburg County,37,119,8/2/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO151-Phase-2-Extension.pdf,"N.C. Exec. Order No. 151 (July 16, 2020)"
518550,NC,Mecklenburg County,37,119,8/3/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO151-Phase-2-Extension.pdf,"N.C. Exec. Order No. 151 (July 16, 2020)"
518551,NC,Mecklenburg County,37,119,8/4/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO151-Phase-2-Extension.pdf,"N.C. Exec. Order No. 151 (July 16, 2020)"
518552,NC,Mecklenburg County,37,119,8/5/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO151-Phase-2-Extension.pdf,"N.C. Exec. Order No. 151 (July 16, 2020)"
518553,NC,Mecklenburg County,37,119,8/6/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO151-Phase-2-Extension.pdf,"N.C. Exec. Order No. 151 (July 16, 2020)"
518554,NC,Mecklenburg County,37,119,8/7/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO155-Extension-of-Phase-2.pdf,"N.C. Exec. Order No. 155 (Aug. 5, 2020)"
518555,NC,Mecklenburg County,37,119,8/8/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO155-Extension-of-Phase-2.pdf,"N.C. Exec. Order No. 155 (Aug. 5, 2020)"
518556,NC,Mecklenburg County,37,119,8/9/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO155-Extension-of-Phase-2.pdf,"N.C. Exec. Order No. 155 (Aug. 5, 2020)"
518557,NC,Mecklenburg County,37,119,8/10/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO155-Extension-of-Phase-2.pdf,"N.C. Exec. Order No. 155 (Aug. 5, 2020)"
518558,NC,Mecklenburg County,37,119,8/11/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO155-Extension-of-Phase-2.pdf,"N.C. Exec. Order No. 155 (Aug. 5, 2020)"
518559,NC,Mecklenburg County,37,119,8/12/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO155-Extension-of-Phase-2.pdf,"N.C. Exec. Order No. 155 (Aug. 5, 2020)"
518560,NC,Mecklenburg County,37,119,8/13/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO155-Extension-of-Phase-2.pdf,"N.C. Exec. Order No. 155 (Aug. 5, 2020)"
518561,NC,Mecklenburg County,37,119,8/14/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO155-Extension-of-Phase-2.pdf,"N.C. Exec. Order No. 155 (Aug. 5, 2020)"
518562,NC,Mecklenburg County,37,119,8/15/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO155-Extension-of-Phase-2.pdf,"N.C. Exec. Order No. 155 (Aug. 5, 2020)"
518563,NC,Mecklenburg County,37,119,8/16/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO155-Extension-of-Phase-2.pdf,"N.C. Exec. Order No. 155 (Aug. 5, 2020)"
518564,NC,Mecklenburg County,37,119,8/17/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO155-Extension-of-Phase-2.pdf,"N.C. Exec. Order No. 155 (Aug. 5, 2020)"
518565,NC,Mecklenburg County,37,119,8/18/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO155-Extension-of-Phase-2.pdf,"N.C. Exec. Order No. 155 (Aug. 5, 2020)"
518566,NC,Mecklenburg County,37,119,8/19/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO155-Extension-of-Phase-2.pdf,"N.C. Exec. Order No. 155 (Aug. 5, 2020)"
518567,NC,Mecklenburg County,37,119,8/20/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO155-Extension-of-Phase-2.pdf,"N.C. Exec. Order No. 155 (Aug. 5, 2020)"
518568,NC,Mecklenburg County,37,119,8/21/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO155-Extension-of-Phase-2.pdf,"N.C. Exec. Order No. 155 (Aug. 5, 2020)"
518569,NC,Mecklenburg County,37,119,8/22/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO155-Extension-of-Phase-2.pdf,"N.C. Exec. Order No. 155 (Aug. 5, 2020)"
518570,NC,Mecklenburg County,37,119,8/23/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO155-Extension-of-Phase-2.pdf,"N.C. Exec. Order No. 155 (Aug. 5, 2020)"
518571,NC,Mecklenburg County,37,119,8/24/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO155-Extension-of-Phase-2.pdf,"N.C. Exec. Order No. 155 (Aug. 5, 2020)"
518572,NC,Mecklenburg County,37,119,8/25/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO155-Extension-of-Phase-2.pdf,"N.C. Exec. Order No. 155 (Aug. 5, 2020)"
518573,NC,Mecklenburg County,37,119,8/26/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO155-Extension-of-Phase-2.pdf,"N.C. Exec. Order No. 155 (Aug. 5, 2020)"
518574,NC,Mecklenburg County,37,119,8/27/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO155-Extension-of-Phase-2.pdf,"N.C. Exec. Order No. 155 (Aug. 5, 2020)"
518575,NC,Mecklenburg County,37,119,8/28/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO155-Extension-of-Phase-2.pdf,"N.C. Exec. Order No. 155 (Aug. 5, 2020)"
518576,NC,Mecklenburg County,37,119,8/29/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO155-Extension-of-Phase-2.pdf,"N.C. Exec. Order No. 155 (Aug. 5, 2020)"
518577,NC,Mecklenburg County,37,119,8/30/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO155-Extension-of-Phase-2.pdf,"N.C. Exec. Order No. 155 (Aug. 5, 2020)"
518578,NC,Mecklenburg County,37,119,8/31/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO155-Extension-of-Phase-2.pdf,"N.C. Exec. Order No. 155 (Aug. 5, 2020)"
518579,NC,Mecklenburg County,37,119,9/1/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO155-Extension-of-Phase-2.pdf,"N.C. Exec. Order No. 155 (Aug. 5, 2020)"
518580,NC,Mecklenburg County,37,119,9/2/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO155-Extension-of-Phase-2.pdf,"N.C. Exec. Order No. 155 (Aug. 5, 2020)"
518581,NC,Mecklenburg County,37,119,9/3/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO155-Extension-of-Phase-2.pdf,"N.C. Exec. Order No. 155 (Aug. 5, 2020)"
518582,NC,Mecklenburg County,37,119,9/4/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO163-New-Phase-2.5.pdf,"N.C. Exec. Order No. 163 (Sept. 1, 2020)"
518583,NC,Mecklenburg County,37,119,9/5/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO163-New-Phase-2.5.pdf,"N.C. Exec. Order No. 163 (Sept. 1, 2020)"
518584,NC,Mecklenburg County,37,119,9/6/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO163-New-Phase-2.5.pdf,"N.C. Exec. Order No. 163 (Sept. 1, 2020)"
518585,NC,Mecklenburg County,37,119,9/7/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO163-New-Phase-2.5.pdf,"N.C. Exec. Order No. 163 (Sept. 1, 2020)"
518586,NC,Mecklenburg County,37,119,9/8/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO163-New-Phase-2.5.pdf,"N.C. Exec. Order No. 163 (Sept. 1, 2020)"
518587,NC,Mecklenburg County,37,119,9/9/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO163-New-Phase-2.5.pdf,"N.C. Exec. Order No. 163 (Sept. 1, 2020)"
518588,NC,Mecklenburg County,37,119,9/10/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO163-New-Phase-2.5.pdf,"N.C. Exec. Order No. 163 (Sept. 1, 2020)"
518589,NC,Mecklenburg County,37,119,9/11/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO163-New-Phase-2.5.pdf,"N.C. Exec. Order No. 163 (Sept. 1, 2020)"
518590,NC,Mecklenburg County,37,119,9/12/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO163-New-Phase-2.5.pdf,"N.C. Exec. Order No. 163 (Sept. 1, 2020)"
518591,NC,Mecklenburg County,37,119,9/13/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO163-New-Phase-2.5.pdf,"N.C. Exec. Order No. 163 (Sept. 1, 2020)"
518592,NC,Mecklenburg County,37,119,9/14/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO163-New-Phase-2.5.pdf,"N.C. Exec. Order No. 163 (Sept. 1, 2020)"
518593,NC,Mecklenburg County,37,119,9/15/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO163-New-Phase-2.5.pdf,"N.C. Exec. Order No. 163 (Sept. 1, 2020)"
518594,NC,Mecklenburg County,37,119,9/16/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO163-New-Phase-2.5.pdf,"N.C. Exec. Order No. 163 (Sept. 1, 2020)"
518595,NC,Mecklenburg County,37,119,9/17/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO163-New-Phase-2.5.pdf,"N.C. Exec. Order No. 163 (Sept. 1, 2020)"
518596,NC,Mecklenburg County,37,119,9/18/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO163-New-Phase-2.5.pdf,"N.C. Exec. Order No. 163 (Sept. 1, 2020)"
518597,NC,Mecklenburg County,37,119,9/19/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO163-New-Phase-2.5.pdf,"N.C. Exec. Order No. 163 (Sept. 1, 2020)"
518598,NC,Mecklenburg County,37,119,9/20/2020,1,Yes,Official,https://files.nc.gov/governor/documents/files/EO163-New-Phase-2.5.pdf,"N.C. Exec. Order No. 163 (Sept. 1, 2020)"
